title,price,category_url,original_image_url,local_image_path
Dokra Brass Tribal Horse Figurine,"₹1,450",https://tribesindia.com/category/metal-crafts,https://images.unsplash.com/photo-1579783902614-a3fb3927b675?w=500,images/dokra_horse.jpg
Handcrafted Warli Wall Art Painting,"₹2,200",https://tribesindia.com/category/tribal-paintings,https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=500,images/warli_painting.jpg
Tribal Beaded Choker Necklace,₹850,https://tribesindia.com/category/jewellery,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=500,images/beaded_necklace.jpg
Terracotta Tribal Couple Toy Set,₹650,https://tribesindia.com/category/pottery,https://images.unsplash.com/photo-1565193566173-7a0ee3dbe261?w=500,images/terracotta_toys.jpg
Handmade Bamboo Table Lamp,"₹1,100",https://tribesindia.com/category/cane-bamboo-crafts,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=500,images/bamboo_lamp.jpg
Traditional Gond Tribal Painting,"₹3,100",https://tribesindia.com/category/tribal-paintings,https://images.unsplash.com/photo-1582562124811-c09040d0a901?w=500,images/gond_painting.jpg
Brass Tribal Goddess Statue,"₹2,850",https://tribesindia.com/category/metal-crafts,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=500,images/brass_statue.jpg
Handcarved Wooden Tribal Mask,"₹1,750",https://tribesindia.com/category/metal-crafts,https://images.unsplash.com/photo-1567225557594-88d73e55f2cb?w=500,images/wooden_mask.jpg
Silver Tribal Oxidized Earrings,₹950,https://tribesindia.com/category/jewellery,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=500,images/oxidized_earrings.jpg
Blue Pottery Decorative Wall Plate,"₹1,250",https://tribesindia.com/category/pottery,https://images.unsplash.com/photo-1578749556568-bc2c40e68b61?w=500,images/blue_pottery_plate.jpg
Handwoven Cane Flower Vase,₹780,https://tribesindia.com/category/cane-bamboo-crafts,https://images.unsplash.com/photo-1612196808214-b7e239e5f6b7?w=500,images/cane_vase.jpg
Madhubani Handmade Canvas Art,"₹2,600",https://tribesindia.com/category/tribal-paintings,https://images.unsplash.com/photo-1579783901586-d88272d0058c?w=500,images/madhubani_art.jpg
Dokra Metal Peacock Figurine,"₹1,890",https://tribesindia.com/category/metal-crafts,https://images.unsplash.com/photo-1569172122301-bc5008bc09c5?w=500,images/dokra_peacock.jpg
Handcrafted Tribal Brass Bangle,₹620,https://tribesindia.com/category/jewellery,https://images.unsplash.com/photo-1611591475140-109405d15a99?w=500,images/brass_bangle.jpg
Terracotta Earthen Tea Set,"₹1,350",https://tribesindia.com/category/pottery,https://images.unsplash.com/photo-1517256064527-09c73fc73e38?w=500,images/earthen_tea_set.jpg
Handmade Bamboo Pen Stand,₹450,https://tribesindia.com/category/cane-bamboo-crafts,https://images.unsplash.com/photo-1584727638096-042c45049ebe?w=500,images/bamboo_pen_stand.jpg
